epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1865.13,1.10128,0.71382,1.13895,0.7436,0.75822,0.81508,0.57984,1.09294,0.68196,1.1476,0.000615781,0.000615781,0.000615781
43,1909.93,1.10433,0.70087,1.14667,0.89973,0.75271,0.81209,0.58086,1.08995,0.67859,1.14589,0.000600313,0.000600313,0.000600313
44,1953.83,1.0986,0.70008,1.14138,0.66674,0.78691,0.71364,0.50072,1.09115,0.67428,1.14685,0.000584844,0.000584844,0.000584844
45,1997.24,1.10904,0.69647,1.1383,0.76639,0.78559,0.81813,0.58176,1.1283,0.65232,1.15848,0.000569375,0.000569375,0.000569375
46,2042.5,1.09037,0.69247,1.13772,0.82158,0.74755,0.8166,0.58739,1.07814,0.65689,1.13632,0.000553906,0.000553906,0.000553906
47,2086.6,1.08252,0.67901,1.12406,0.68033,0.79083,0.70998,0.47896,1.11102,0.6596,1.14515,0.000538438,0.000538438,0.000538438
48,2131.04,1.0876,0.69415,1.12652,0.66235,0.79607,0.68555,0.48421,1.08478,0.6381,1.14295,0.000522969,0.000522969,0.000522969
49,2176.13,1.07739,0.69443,1.12231,0.68493,0.78401,0.6903,0.48408,1.07016,0.64427,1.13108,0.0005075,0.0005075,0.0005075
50,2220.02,1.06895,0.67273,1.11738,0.7024,0.78244,0.69505,0.47942,1.06757,0.62402,1.11767,0.000492031,0.000492031,0.000492031
51,2263.59,1.06347,0.67369,1.11885,0.97769,0.60549,0.67291,0.46757,1.0994,0.64274,1.14224,0.000476562,0.000476562,0.000476562
52,2308.13,1.0638,0.67367,1.11814,0.67682,0.79976,0.70019,0.49123,1.07015,0.61897,1.12915,0.000461094,0.000461094,0.000461094
53,2352.53,1.05494,0.67169,1.11754,0.67966,0.78327,0.68249,0.47858,1.0774,0.6317,1.13028,0.000445625,0.000445625,0.000445625
54,2396.4,1.06564,0.65733,1.11595,0.65979,0.79713,0.70838,0.49834,1.07286,0.62421,1.12217,0.000430156,0.000430156,0.000430156
55,2440.14,1.05601,0.64381,1.10581,0.70913,0.79031,0.68985,0.48917,1.05988,0.61999,1.11611,0.000414688,0.000414688,0.000414688
56,2484.72,1.06541,0.63947,1.11567,0.68163,0.79499,0.69907,0.49807,1.05277,0.60819,1.12051,0.000399219,0.000399219,0.000399219
57,2528.62,1.04525,0.64139,1.11391,0.71538,0.77715,0.69968,0.50106,1.06417,0.61363,1.12811,0.00038375,0.00038375,0.00038375
58,2572.57,1.04518,0.63393,1.10762,0.71217,0.7955,0.74204,0.53303,1.04773,0.61321,1.11518,0.000368281,0.000368281,0.000368281
59,2617.5,1.05238,0.63818,1.11377,0.7193,0.79038,0.71227,0.51265,1.04744,0.6077,1.12091,0.000352812,0.000352812,0.000352812
60,2661.51,1.04569,0.62868,1.10248,0.71624,0.78354,0.69827,0.50079,1.04366,0.60005,1.11406,0.000337344,0.000337344,0.000337344
61,2705.47,1.0394,0.62683,1.09959,0.69152,0.7943,0.69417,0.4962,1.04708,0.59995,1.11203,0.000321875,0.000321875,0.000321875
62,2749.7,1.04809,0.61941,1.10836,0.67946,0.79818,0.69281,0.49622,1.04899,0.59787,1.11553,0.000306406,0.000306406,0.000306406
63,2794.16,1.03642,0.61601,1.10677,0.68377,0.79335,0.69933,0.49789,1.03776,0.59412,1.1105,0.000290937,0.000290937,0.000290937
64,2838.47,1.02833,0.609,1.09448,0.69769,0.78841,0.69514,0.48987,1.04613,0.60823,1.10946,0.000275469,0.000275469,0.000275469
65,2882.7,1.02963,0.6164,1.09473,0.71344,0.78873,0.70418,0.49909,1.04226,0.5905,1.10742,0.00026,0.00026,0.00026
66,2927.74,1.03792,0.61031,1.1075,0.7921,0.78926,0.74891,0.54193,1.036,0.58212,1.10334,0.000244531,0.000244531,0.000244531
67,2972,1.02075,0.59834,1.09033,0.74106,0.79254,0.75069,0.53832,1.03819,0.58041,1.10641,0.000229063,0.000229063,0.000229063
68,3015.9,1.01624,0.60152,1.09033,0.69391,0.79349,0.71399,0.51044,1.0287,0.56535,1.10509,0.000213594,0.000213594,0.000213594
69,3061.09,1.02287,0.60366,1.1012,0.72021,0.79657,0.7229,0.51867,1.03809,0.56591,1.10051,0.000198125,0.000198125,0.000198125
70,3105,1.02316,0.59337,1.08915,0.70745,0.80448,0.72577,0.52235,1.02488,0.57115,1.10182,0.000182656,0.000182656,0.000182656
71,3150.08,0.97732,0.54093,1.07444,0.74981,0.78572,0.72375,0.52638,1.02199,0.572,1.09987,0.000167188,0.000167188,0.000167188
72,3193.63,0.97062,0.5299,1.06612,0.74001,0.78033,0.72133,0.5202,1.02278,0.56384,1.09816,0.000151719,0.000151719,0.000151719
73,3235.4,0.97015,0.52655,1.07267,0.74534,0.78877,0.72415,0.52248,1.01809,0.56611,1.0985,0.00013625,0.00013625,0.00013625
74,3277.56,0.96113,0.52737,1.06568,0.73121,0.78945,0.72557,0.52251,1.01393,0.56587,1.09444,0.000120781,0.000120781,0.000120781
75,3319.49,0.94527,0.5161,1.05599,0.72289,0.79021,0.71075,0.51872,1.01321,0.55577,1.09294,0.000105312,0.000105312,0.000105312
76,3361.61,0.95171,0.51019,1.0588,0.70305,0.79628,0.71398,0.51998,1.00891,0.55236,1.09842,8.98437e-05,8.98437e-05,8.98437e-05
77,3403.79,0.94795,0.50654,1.0556,0.69205,0.79565,0.7018,0.51533,1.00613,0.55084,1.09348,7.4375e-05,7.4375e-05,7.4375e-05
78,3447.17,0.94077,0.49752,1.05627,0.71056,0.7966,0.7267,0.53987,1.00328,0.54852,1.08883,5.89062e-05,5.89062e-05,5.89062e-05
79,3489.6,0.93878,0.50065,1.0493,0.70661,0.79225,0.72827,0.53686,1.00143,0.54446,1.08527,4.34375e-05,4.34375e-05,4.34375e-05
80,3531.74,0.93558,0.50007,1.04749,0.70817,0.79492,0.72767,0.53655,1.00211,0.54565,1.08595,2.79687e-05,2.79687e-05,2.79687e-05
