epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1925.7,0.82195,0.82499,1.19005,0.8256,0.45964,0.59217,0.41519,0.99816,0.83192,1.37891,0.000123156,0.000123156,0.000123156
43,1971.49,0.81908,0.81465,1.17974,0.7372,0.49762,0.58996,0.41801,0.99862,0.80657,1.37747,0.000120063,0.000120063,0.000120063
44,2018.18,0.81742,0.80983,1.17441,0.82537,0.47925,0.57322,0.41395,0.989,0.80232,1.37122,0.000116969,0.000116969,0.000116969
45,2064.16,0.81788,0.8076,1.1741,0.78698,0.47098,0.59234,0.42048,0.98027,0.80743,1.36012,0.000113875,0.000113875,0.000113875
46,2110.77,0.79326,0.78302,1.17324,0.82305,0.46924,0.55392,0.40352,1.00055,0.81273,1.36661,0.000110781,0.000110781,0.000110781
47,2156.35,0.80499,0.79401,1.17152,0.80654,0.49288,0.5516,0.41579,0.98343,0.78925,1.3573,0.000107688,0.000107688,0.000107688
48,2201.66,0.80593,0.77875,1.17489,0.7914,0.49613,0.56581,0.4128,1.01254,0.835,1.37463,0.000104594,0.000104594,0.000104594
49,2247.86,0.79119,0.77852,1.1662,0.82538,0.49111,0.55972,0.4103,0.97723,0.80195,1.36155,0.0001015,0.0001015,0.0001015
50,2292.46,0.81136,0.78513,1.17515,0.6599,0.52138,0.53336,0.39812,0.99611,0.78774,1.37318,9.84062e-05,9.84062e-05,9.84062e-05
51,2337.13,0.78922,0.76116,1.16039,0.81105,0.48758,0.55962,0.41442,0.98095,0.80051,1.37053,9.53125e-05,9.53125e-05,9.53125e-05
52,2382.64,0.78566,0.75863,1.16056,0.83336,0.47368,0.56312,0.41485,0.97261,0.77624,1.3552,9.22188e-05,9.22188e-05,9.22188e-05
53,2427.42,0.7842,0.75685,1.16103,0.85337,0.47032,0.60944,0.44369,0.96234,0.75825,1.34215,8.9125e-05,8.9125e-05,8.9125e-05
54,2473.39,0.77265,0.72916,1.14767,0.80818,0.48414,0.57198,0.41776,0.96817,0.78421,1.35117,8.60313e-05,8.60313e-05,8.60313e-05
55,2519.36,0.76986,0.74693,1.15117,0.84683,0.48477,0.60621,0.43801,0.95986,0.76609,1.33178,8.29375e-05,8.29375e-05,8.29375e-05
56,2564.86,0.78169,0.74652,1.15666,0.84963,0.47546,0.58674,0.42159,0.97127,0.7596,1.34126,7.98438e-05,7.98438e-05,7.98438e-05
57,2610.98,0.75455,0.71464,1.14392,0.82053,0.48186,0.59891,0.43097,0.96827,0.75298,1.33843,7.675e-05,7.675e-05,7.675e-05
58,2655.59,0.77217,0.73496,1.15488,0.71482,0.57181,0.61095,0.44133,0.98046,0.75841,1.34913,7.36562e-05,7.36562e-05,7.36562e-05
59,2699.92,0.77888,0.7304,1.15111,0.78902,0.49585,0.57973,0.42283,0.96809,0.74692,1.33652,7.05625e-05,7.05625e-05,7.05625e-05
60,2745.79,0.77273,0.72004,1.14463,0.79375,0.51943,0.58247,0.41897,0.97288,0.765,1.34247,6.74687e-05,6.74687e-05,6.74687e-05
61,2790.47,0.75232,0.70417,1.13704,0.58809,0.56567,0.62032,0.43162,0.96576,0.7535,1.33488,6.4375e-05,6.4375e-05,6.4375e-05
62,2836,0.75547,0.70301,1.13769,0.74047,0.48963,0.60186,0.43198,0.97156,0.75976,1.34402,6.12813e-05,6.12813e-05,6.12813e-05
63,2882.09,0.74178,0.69358,1.13099,0.8337,0.49118,0.59504,0.43302,0.95734,0.73766,1.33211,5.81875e-05,5.81875e-05,5.81875e-05
64,2927.25,0.75937,0.7054,1.13473,0.67039,0.55426,0.62403,0.43705,0.96514,0.74079,1.33106,5.50938e-05,5.50938e-05,5.50938e-05
65,2973.73,0.76255,0.69956,1.14209,0.69185,0.5274,0.58735,0.43104,0.94293,0.73165,1.31602,5.2e-05,5.2e-05,5.2e-05
66,3019.07,0.74461,0.6863,1.13334,0.80365,0.51694,0.58142,0.42674,0.9653,0.74944,1.33936,4.89062e-05,4.89062e-05,4.89062e-05
67,3064.84,0.73816,0.68067,1.1323,0.82436,0.50125,0.59054,0.43376,0.94441,0.73368,1.31938,4.58125e-05,4.58125e-05,4.58125e-05
68,3111.39,0.7202,0.65837,1.1211,0.70206,0.51348,0.55813,0.41606,0.94836,0.73685,1.31975,4.27187e-05,4.27187e-05,4.27187e-05
69,3156.34,0.72905,0.67881,1.12971,0.6841,0.53043,0.57989,0.42373,0.93414,0.72202,1.30894,3.9625e-05,3.9625e-05,3.9625e-05
70,3202.89,0.75596,0.67697,1.13199,0.69166,0.53397,0.61184,0.45703,0.94397,0.73642,1.31425,3.65312e-05,3.65312e-05,3.65312e-05
71,3249.13,0.7881,0.71713,1.17316,0.81673,0.50439,0.60034,0.44063,0.95921,0.75024,1.33434,3.34375e-05,3.34375e-05,3.34375e-05
72,3292.52,0.74003,0.65752,1.14415,0.66738,0.52721,0.6022,0.44899,0.95843,0.72763,1.33424,3.03438e-05,3.03438e-05,3.03438e-05
73,3336.14,0.74105,0.64525,1.14669,0.82922,0.48878,0.60359,0.44664,0.94335,0.71876,1.32748,2.725e-05,2.725e-05,2.725e-05
74,3380.57,0.7302,0.63576,1.1389,0.61264,0.60244,0.60802,0.45558,0.94621,0.7093,1.32143,2.41563e-05,2.41563e-05,2.41563e-05
75,3424.08,0.72853,0.6342,1.14159,0.62346,0.60768,0.6088,0.45729,0.95545,0.71239,1.32269,2.10625e-05,2.10625e-05,2.10625e-05
76,3467.26,0.71985,0.62582,1.13671,0.6737,0.57792,0.60361,0.45453,0.95688,0.70853,1.33283,1.79687e-05,1.79687e-05,1.79687e-05
77,3511.24,0.71093,0.61125,1.12212,0.61484,0.60753,0.60591,0.45599,0.94468,0.71251,1.32273,1.4875e-05,1.4875e-05,1.4875e-05
78,3555.72,0.71616,0.62656,1.13439,0.64211,0.59461,0.60502,0.45603,0.9401,0.71478,1.31924,1.17812e-05,1.17812e-05,1.17812e-05
79,3599.61,0.71408,0.62173,1.12711,0.66711,0.58457,0.60466,0.45786,0.93852,0.71027,1.31625,8.6875e-06,8.6875e-06,8.6875e-06
80,3643.43,0.71264,0.61693,1.12384,0.66551,0.58578,0.60531,0.45686,0.93849,0.70451,1.31565,5.59375e-06,5.59375e-06,5.59375e-06
