epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2950.94,0.57376,0.35781,1.00368,0.96328,0.95647,0.96552,0.84674,0.57644,0.34016,0.92878,0.000447796,0.000447796,0.000447796
43,3019.99,0.55569,0.35417,0.99262,0.97215,0.93855,0.96202,0.8477,0.56769,0.35143,0.92733,0.000436547,0.000436547,0.000436547
44,3089.67,0.54877,0.34323,0.99188,0.97162,0.95068,0.96234,0.84927,0.55687,0.33962,0.92034,0.000425298,0.000425298,0.000425298
45,3158.48,0.55164,0.34845,0.99366,0.96935,0.95321,0.96165,0.84767,0.56597,0.33601,0.92554,0.000414049,0.000414049,0.000414049
46,3227.34,0.55535,0.34853,1.00025,0.96142,0.95212,0.9655,0.84872,0.56413,0.33219,0.92213,0.000402801,0.000402801,0.000402801
47,3296.57,0.55254,0.33885,0.99173,0.96593,0.95348,0.96613,0.85154,0.56784,0.33499,0.91796,0.000391552,0.000391552,0.000391552
48,3367.44,0.54232,0.33207,0.98418,0.96589,0.94153,0.96438,0.84886,0.57423,0.34258,0.92567,0.000380303,0.000380303,0.000380303
49,3436.08,0.5497,0.33669,0.99562,0.96581,0.94703,0.95887,0.84628,0.56311,0.36193,0.92017,0.000369054,0.000369054,0.000369054
50,3505.15,0.54588,0.33211,0.99125,0.9714,0.95052,0.96606,0.85033,0.55802,0.32697,0.92411,0.000357805,0.000357805,0.000357805
51,3574.37,0.53574,0.33029,0.98818,0.97022,0.94834,0.96648,0.85193,0.55549,0.32795,0.91827,0.000346556,0.000346556,0.000346556
52,3644.3,0.54756,0.33335,0.98827,0.96692,0.94915,0.96505,0.85247,0.55948,0.32605,0.91808,0.000335307,0.000335307,0.000335307
53,3712.9,0.53617,0.3286,0.98675,0.96255,0.95058,0.96599,0.85162,0.55868,0.32893,0.91799,0.000324058,0.000324058,0.000324058
54,3781.46,0.53242,0.32579,0.98068,0.96771,0.94837,0.96017,0.84678,0.56576,0.35079,0.92062,0.00031281,0.00031281,0.00031281
55,3850.12,0.53543,0.32094,0.9857,0.98301,0.93692,0.95896,0.8482,0.56038,0.34408,0.92265,0.000301561,0.000301561,0.000301561
56,3920.23,0.54272,0.32565,0.98437,0.97264,0.94564,0.96022,0.851,0.55299,0.33198,0.92002,0.000290312,0.000290312,0.000290312
57,3989.37,0.53431,0.32855,0.98774,0.96617,0.95236,0.9653,0.8533,0.55737,0.33024,0.91636,0.000279063,0.000279063,0.000279063
58,4057.57,0.5267,0.30281,0.97898,0.97567,0.943,0.96453,0.84979,0.56509,0.33095,0.92563,0.000267814,0.000267814,0.000267814
59,4125.9,0.53502,0.32717,0.98594,0.96986,0.95055,0.96354,0.85003,0.56009,0.32771,0.92001,0.000256565,0.000256565,0.000256565
60,4194.38,0.527,0.31968,0.98229,0.97551,0.94437,0.96516,0.85153,0.55507,0.322,0.91653,0.000245316,0.000245316,0.000245316
61,4264.54,0.51952,0.30612,0.97406,0.96358,0.95105,0.96676,0.85376,0.56029,0.32134,0.91595,0.000234068,0.000234068,0.000234068
62,4334.16,0.53087,0.30694,0.97802,0.96873,0.9473,0.96283,0.85278,0.55145,0.3283,0.9132,0.000222819,0.000222819,0.000222819
63,4403.14,0.5205,0.31815,0.98077,0.97245,0.94712,0.96543,0.85249,0.55668,0.32055,0.9115,0.00021157,0.00021157,0.00021157
64,4472.23,0.52387,0.30996,0.97888,0.97338,0.94475,0.96293,0.85222,0.55176,0.33006,0.91131,0.000200321,0.000200321,0.000200321
65,4542.77,0.50912,0.30196,0.9713,0.96872,0.95006,0.96409,0.85212,0.55859,0.3289,0.91323,0.000189072,0.000189072,0.000189072
66,4612.02,0.51061,0.3033,0.97959,0.97226,0.94882,0.96522,0.85447,0.54885,0.31852,0.91155,0.000177823,0.000177823,0.000177823
67,4681.28,0.5165,0.3058,0.97616,0.97632,0.94812,0.96739,0.85664,0.54998,0.30848,0.91172,0.000166574,0.000166574,0.000166574
68,4749.97,0.51387,0.30307,0.9744,0.97091,0.9508,0.96734,0.85778,0.54989,0.30758,0.90744,0.000155325,0.000155325,0.000155325
69,4820.56,0.50812,0.3007,0.97674,0.96879,0.95187,0.96588,0.85582,0.54773,0.31046,0.90958,0.000144077,0.000144077,0.000144077
70,4889.45,0.4974,0.29236,0.96871,0.9678,0.94919,0.96604,0.85537,0.54871,0.31182,0.91529,0.000132828,0.000132828,0.000132828
71,4959.43,0.49951,0.27552,0.96102,0.97565,0.94203,0.96739,0.85626,0.55142,0.31118,0.91181,0.000121579,0.000121579,0.000121579
72,5026.63,0.49206,0.25865,0.94923,0.97492,0.94898,0.96901,0.85757,0.55105,0.30614,0.91204,0.00011033,0.00011033,0.00011033
73,5093.19,0.48486,0.25723,0.95046,0.97515,0.94605,0.96993,0.85621,0.55086,0.30928,0.9104,9.9081e-05,9.9081e-05,9.9081e-05
74,5161.13,0.47982,0.2539,0.94495,0.9755,0.94257,0.9656,0.85474,0.54726,0.31493,0.90955,8.78321e-05,8.78321e-05,8.78321e-05
75,5229.1,0.47839,0.25284,0.94655,0.97781,0.94344,0.96392,0.85522,0.54622,0.3119,0.9109,7.65832e-05,7.65832e-05,7.65832e-05
76,5296.75,0.47792,0.24821,0.94311,0.98098,0.94,0.9648,0.85552,0.54669,0.31012,0.91221,6.53344e-05,6.53344e-05,6.53344e-05
77,5363.95,0.47467,0.24511,0.94626,0.97322,0.94768,0.96436,0.85295,0.54806,0.30694,0.91118,5.40855e-05,5.40855e-05,5.40855e-05
78,5431.3,0.4738,0.24347,0.9406,0.96902,0.95269,0.96445,0.85534,0.54599,0.30643,0.90947,4.28366e-05,4.28366e-05,4.28366e-05
79,5498.26,0.47121,0.24399,0.9468,0.97315,0.94931,0.9646,0.85613,0.54569,0.30601,0.91046,3.15878e-05,3.15878e-05,3.15878e-05
80,5565.81,0.47033,0.23983,0.94872,0.96924,0.95133,0.96423,0.85532,0.54695,0.30593,0.9116,2.03389e-05,2.03389e-05,2.03389e-05
