epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,482.684,1.13584,2.38302,1.34237,0.67793,0.16049,0.31082,0.14131,1.38229,2.66899,1.66242,0.000344898,0.000114966,0.000344898,0.000114966,0.000344898,0.000114966,0.000344898,0.000114966
31,498.176,1.17256,2.38533,1.34774,0.6848,0.15912,0.26082,0.13154,1.36665,2.67757,1.65964,0.00032886,0.00010962,0.00032886,0.00010962,0.00032886,0.00010962,0.00032886,0.00010962
32,513.426,1.14258,2.34251,1.33332,0.63935,0.17931,0.32005,0.15339,1.4013,2.67298,1.67684,0.000312822,0.000104274,0.000312822,0.000104274,0.000312822,0.000104274,0.000312822,0.000104274
33,529.277,1.12949,2.3275,1.34234,0.64358,0.18116,0.31619,0.15431,1.39314,2.63933,1.67606,0.000296784,9.8928e-05,0.000296784,9.8928e-05,0.000296784,9.8928e-05,0.000296784,9.8928e-05
34,545.982,1.1598,2.32715,1.34622,0.66365,0.16459,0.30983,0.15359,1.42905,2.7142,1.70885,0.000280746,9.3582e-05,0.000280746,9.3582e-05,0.000280746,9.3582e-05,0.000280746,9.3582e-05
35,561.524,1.14342,2.31863,1.34502,0.70721,0.16048,0.26346,0.13898,1.396,2.62893,1.67063,0.000264708,8.8236e-05,0.000264708,8.8236e-05,0.000264708,8.8236e-05,0.000264708,8.8236e-05
36,576.872,1.14468,2.26236,1.33807,0.65256,0.18134,0.27327,0.14183,1.36101,2.54806,1.64785,0.00024867,8.289e-05,0.00024867,8.289e-05,0.00024867,8.289e-05,0.00024867,8.289e-05
37,592.466,1.12123,2.24755,1.32636,0.6384,0.19998,0.27799,0.14086,1.37684,2.54146,1.64046,0.000232632,7.7544e-05,0.000232632,7.7544e-05,0.000232632,7.7544e-05,0.000232632,7.7544e-05
38,607.984,1.10792,2.26222,1.32413,0.63793,0.20164,0.26961,0.12859,1.37063,2.57219,1.64805,0.000216594,7.2198e-05,0.000216594,7.2198e-05,0.000216594,7.2198e-05,0.000216594,7.2198e-05
39,624.393,1.13646,2.26762,1.33181,0.63868,0.2037,0.27611,0.1391,1.35974,2.58254,1.64164,0.000200556,6.6852e-05,0.000200556,6.6852e-05,0.000200556,6.6852e-05,0.000200556,6.6852e-05
40,639.929,1.12788,2.20197,1.32461,0.63531,0.19905,0.28226,0.14594,1.38163,2.61392,1.65318,0.000184518,6.1506e-05,0.000184518,6.1506e-05,0.000184518,6.1506e-05,0.000184518,6.1506e-05
41,657.414,1.32349,2.54227,1.47492,0.77391,0.18618,0.21776,0.12047,1.36237,2.46926,1.6389,0.00016848,5.616e-05,0.00016848,5.616e-05,0.00016848,5.616e-05,0.00016848,5.616e-05
42,673.448,1.24885,2.50812,1.43571,0.79025,0.18854,0.21836,0.11794,1.35403,2.44811,1.64242,0.000152442,5.0814e-05,0.000152442,5.0814e-05,0.000152442,5.0814e-05,0.000152442,5.0814e-05
43,688.649,1.22912,2.47276,1.41384,0.78448,0.19136,0.21567,0.11662,1.37288,2.43327,1.64546,0.000136404,4.5468e-05,0.000136404,4.5468e-05,0.000136404,4.5468e-05,0.000136404,4.5468e-05
44,703.867,1.22284,2.43556,1.40336,0.77236,0.19136,0.214,0.1188,1.36023,2.41717,1.6495,0.000120366,4.0122e-05,0.000120366,4.0122e-05,0.000120366,4.0122e-05,0.000120366,4.0122e-05
45,719.248,1.22425,2.39812,1.40484,0.77532,0.19136,0.22735,0.12083,1.35329,2.39031,1.65222,0.000104328,3.4776e-05,0.000104328,3.4776e-05,0.000104328,3.4776e-05,0.000104328,3.4776e-05
46,734.203,1.20129,2.42259,1.40393,0.76845,0.18769,0.23527,0.12362,1.34397,2.39317,1.64276,8.829e-05,2.943e-05,8.829e-05,2.943e-05,8.829e-05,2.943e-05,8.829e-05,2.943e-05
47,749.994,1.20345,2.4088,1.39672,0.78123,0.18061,0.23703,0.12465,1.37143,2.4033,1.65231,7.2252e-05,2.4084e-05,7.2252e-05,2.4084e-05,7.2252e-05,2.4084e-05,7.2252e-05,2.4084e-05
48,765.159,1.21088,2.39746,1.41357,0.77678,0.18274,0.2323,0.12189,1.35709,2.40451,1.64362,5.6214e-05,1.8738e-05,5.6214e-05,1.8738e-05,5.6214e-05,1.8738e-05,5.6214e-05,1.8738e-05
49,780.258,1.21086,2.38526,1.40504,0.7737,0.18221,0.23173,0.12359,1.36842,2.407,1.64647,4.0176e-05,1.3392e-05,4.0176e-05,1.3392e-05,4.0176e-05,1.3392e-05,4.0176e-05,1.3392e-05
50,795.306,1.20874,2.42076,1.41669,0.76671,0.17844,0.23769,0.12445,1.36849,2.39959,1.65294,2.4138e-05,8.046e-06,2.4138e-05,8.046e-06,2.4138e-05,8.046e-06,2.4138e-05,8.046e-06
