epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1582.62,0.83068,0.41264,0.96573,0.99979,1,0.995,0.80043,0.79763,0.36862,0.86999,0.000515,0.000515,0.000515
47,1618.27,0.83357,0.40578,0.96434,0.99606,1,0.995,0.80319,0.79882,0.38054,0.87343,0.000482,0.000482,0.000482
48,1653.58,0.82225,0.40906,0.96358,0.99974,1,0.995,0.80461,0.77868,0.36384,0.86703,0.000449,0.000449,0.000449
49,1687.74,0.82028,0.40535,0.9639,0.99783,1,0.99492,0.81159,0.79562,0.36402,0.86874,0.000416,0.000416,0.000416
50,1723.15,0.831,0.40183,0.96703,0.99987,1,0.995,0.789,0.82681,0.39306,0.883,0.000383,0.000383,0.000383
51,1760.5,0.77147,0.36798,0.94113,0.99981,1,0.995,0.7963,0.7967,0.37475,0.87856,0.00035,0.00035,0.00035
52,1793.87,0.76009,0.36214,0.92949,0.99986,1,0.995,0.80678,0.79237,0.3661,0.88024,0.000317,0.000317,0.000317
53,1828.14,0.75212,0.35401,0.92883,0.99985,1,0.995,0.81033,0.76541,0.35115,0.86552,0.000284,0.000284,0.000284
54,1861.23,0.73442,0.34236,0.92776,0.99987,1,0.995,0.81712,0.77289,0.34256,0.85569,0.000251,0.000251,0.000251
55,1894.83,0.7407,0.34012,0.93012,0.99987,1,0.995,0.81402,0.78092,0.3417,0.85525,0.000218,0.000218,0.000218
56,1927.58,0.73393,0.3335,0.92842,0.99988,1,0.995,0.82145,0.7605,0.32573,0.85487,0.000185,0.000185,0.000185
57,1962.08,0.73197,0.33202,0.92137,0.99987,1,0.995,0.82368,0.75344,0.33812,0.84961,0.000152,0.000152,0.000152
58,1997.31,0.72119,0.32576,0.92511,0.99987,1,0.995,0.82963,0.75524,0.32838,0.85043,0.000119,0.000119,0.000119
59,2032.23,0.71322,0.32289,0.92699,0.99987,1,0.995,0.8256,0.75066,0.32438,0.85175,8.6e-05,8.6e-05,8.6e-05
60,2066.22,0.72032,0.31664,0.92438,0.99987,1,0.995,0.82701,0.74279,0.32156,0.84672,5.3e-05,5.3e-05,5.3e-05
