epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,651.128,1.27477,1.18584,1.30732,0.53663,0.72412,0.61862,0.37031,1.396,1.12509,1.37522,0.000742625,0.000742625,0.000742625
43,666.452,1.28533,1.2111,1.29967,0.57747,0.70617,0.64399,0.40647,1.40464,1.21438,1.35709,0.00073025,0.00073025,0.00073025
44,681.691,1.29925,1.22654,1.30163,0.50231,0.68461,0.62547,0.37453,1.38152,1.06493,1.348,0.000717875,0.000717875,0.000717875
45,696.707,1.27486,1.15881,1.305,0.61143,0.68347,0.62396,0.37586,1.3597,1.09281,1.34427,0.0007055,0.0007055,0.0007055
46,712.742,1.24122,1.1331,1.2725,0.47871,0.73656,0.62036,0.37316,1.37123,1.08049,1.34416,0.000693125,0.000693125,0.000693125
47,727.843,1.29703,1.17563,1.31504,0.55818,0.53254,0.62069,0.36501,1.38978,1.08486,1.36996,0.00068075,0.00068075,0.00068075
48,743.185,1.24043,1.13547,1.28921,0.73196,0.64907,0.69092,0.43918,1.34623,1.10629,1.32204,0.000668375,0.000668375,0.000668375
49,758.42,1.24314,1.13904,1.27429,0.60545,0.76499,0.66812,0.41709,1.3458,1.03217,1.33419,0.000656,0.000656,0.000656
50,773.469,1.23348,1.118,1.27317,0.50086,0.74792,0.63079,0.38691,1.34632,1.05321,1.33693,0.000643625,0.000643625,0.000643625
51,789.152,1.25943,1.0929,1.29434,0.57466,0.73459,0.64324,0.39694,1.40393,1.07595,1.3534,0.00063125,0.00063125,0.00063125
52,804.506,1.25314,1.07867,1.27188,0.50631,0.72329,0.61965,0.3759,1.33667,1.0749,1.32734,0.000618875,0.000618875,0.000618875
53,819.585,1.22315,1.08479,1.25608,0.58651,0.71093,0.62668,0.38859,1.34604,1.05223,1.3393,0.0006065,0.0006065,0.0006065
54,835.17,1.22674,1.09142,1.26763,0.5846,0.70462,0.62787,0.383,1.32141,1.02868,1.31386,0.000594125,0.000594125,0.000594125
55,850.277,1.24183,1.07919,1.25629,0.49681,0.74227,0.63609,0.39896,1.32436,1.0219,1.27703,0.00058175,0.00058175,0.00058175
